document,chunk,positions,baseline_js,corrected_js,js_reduction,baseline_tv,corrected_tv
hidden-adapter,18,63,0.05490162976766153,0.05326297439058267,0.001638655377078864,0.19494589566001816,0.189193591150263
hidden-adapter,19,63,0.04598568687363276,0.04591808173831345,6.760513531930967e-05,0.13031882724709928,0.12898781061882064
hidden-adapter,20,63,0.03606340648917784,0.035952820651425375,0.00011058583775246794,0.12191219315938061,0.1204485905962804
hidden-adapter,21,63,0.04620292939482227,0.04579107513067327,0.0004118542641489975,0.15807927133781569,0.15640795644786623
hidden-adapter,22,63,0.029612276066530732,0.029010222446809095,0.0006020536197216368,0.10329317595691435,0.1026101213776403
hidden-adapter,23,63,0.06170600757237509,0.06015105473823727,0.0015549528341378197,0.18527011731491674,0.18327299796695273
hidden-adapter,24,63,0.07476014960261565,0.07365437121927879,0.001105778383336864,0.24137109098216844,0.23578362560106647
hidden-adapter,25,63,0.03949409433537059,0.03736650777448501,0.002127586560885582,0.1339541763835956,0.1295553024503447
hidden-adapter,26,63,0.03203572578994291,0.030554081324399227,0.0014816444655436842,0.11692088800999853,0.11402317455836705
hidden-adapter,27,63,0.04245674453808793,0.04231211656357147,0.00014462797451646192,0.1395121899743875,0.13706459130884874
hidden-adapter,28,63,0.05874133571272805,0.05700171499010471,0.0017396207226233404,0.1724413415150983,0.16879711867797942
hidden-adapter,29,63,0.024792797589999815,0.02454266187989907,0.0002501357101007441,0.08327467192614836,0.08335053196383847
hidden-adapter,30,63,0.03965671529756889,0.03811773073874296,0.0015389845588259302,0.10884606400652537,0.10481639638070077
hidden-adapter,31,63,0.06443397866262655,0.06746174140541356,-0.003027762742787002,0.18210300983535865,0.18439651079594144
stdlib-argparse,0,63,0.14462207709365185,0.14303221606782504,0.0015898610258268109,0.32960530808047644,0.3262293523266202
stdlib-argparse,1,63,0.04986744867785582,0.048094363779657416,0.0017730848981984057,0.16511786146651183,0.16022305781879123
stdlib-argparse,2,63,0.07678962136722273,0.07571511711954834,0.001074504247674385,0.23157055421717584,0.22883527616541538
stdlib-argparse,3,63,0.07391260058382555,0.07411776048441727,-0.00020515990059172262,0.19645188467961455,0.1952644433412287
stdlib-argparse,4,63,0.06812894114987031,0.06735856889835781,0.0007703722515124967,0.2020522290397258,0.19960989927252135
stdlib-argparse,5,63,0.07002530810201452,0.06817531056835183,0.0018499975336626895,0.14910819393301766,0.145015270611833
stdlib-argparse,6,63,0.05478544473012407,0.05397397419437766,0.0008114705357464072,0.17000365830839625,0.1666551905846785
stdlib-argparse,7,63,0.04578735061832482,0.046057223279531746,-0.0002698726612069269,0.14777575134639703,0.14611928907060434
stdlib-argparse,8,63,0.02835674280308128,0.027529852475882285,0.0008268903271989939,0.09101297180094416,0.08965138690398326
stdlib-argparse,9,63,0.046694860084071046,0.04718182035647924,-0.0004869602724081948,0.15881278763510406,0.15946329518088273
stdlib-argparse,10,63,0.049098647598709376,0.04910552715291343,-6.8795542040520075e-06,0.13055510079813382,0.13008490654211197
stdlib-argparse,11,63,0.0905977533723686,0.08941878028221369,0.0011789730901549111,0.2324029714578674,0.22819909754963147
stdlib-argparse,12,63,0.04201335734539917,0.04105970028617848,0.0009536570592206875,0.11709204830584072,0.1139615380929576
stdlib-argparse,13,63,0.04401604960569077,0.04317091595721505,0.0008451336484757224,0.14243092240085678,0.13879755902148427
stdlib-argparse,14,63,0.03405788394859031,0.0340896268293912,-3.1742880800891826e-05,0.13282904702992665,0.1327197499100178
stdlib-argparse,15,63,0.06279615532802714,0.06153237901901501,0.0012637763090121296,0.16355015647908053,0.1625475531355256
stdlib-argparse,16,63,0.04969937166953016,0.04958815561858789,0.00011121605094226855,0.14347398836934377,0.1422720015167244
stdlib-argparse,17,63,0.05262839011404486,0.052790064290757215,-0.00016167417671235362,0.15616663107796322,0.15483541195354764
stdlib-argparse,18,63,0.1266544206023571,0.12651899511674566,0.00013542548561143453,0.3086814520259698,0.30646526213321423
stdlib-argparse,19,63,0.02275439128390558,0.02196195676908015,0.0007924345148254269,0.0699405496910451,0.06743382743840652
stdlib-argparse,20,63,0.10764242404524887,0.10676301730471471,0.000879406740534161,0.2647733978099293,0.2629164135349648
stdlib-argparse,21,63,0.03046062889523686,0.029625291333696437,0.0008353375615404238,0.11744325152701801,0.11547586428267616
stdlib-argparse,22,63,0.030121426785453445,0.02949551566104804,0.0006259111244054059,0.0897346856220374,0.08737186614483122
stdlib-argparse,23,63,0.036833956774826794,0.03708553188554351,-0.00025157511071671745,0.12840669223713497,0.12728765861146032
stdlib-argparse,24,63,0.03497964574304956,0.03418800774093215,0.0007916380021174146,0.12225593786154475,0.12122309852450613
stdlib-argparse,25,63,0.03561564866482686,0.03511126615506198,0.0005043825097648807,0.11014159177503889,0.10889516353961967
stdlib-argparse,26,63,0.0377707307574354,0.03648354329486629,0.0012871874625691102,0.12769114764200318,0.12248510210996583
stdlib-argparse,27,63,0.034018130887517824,0.03313133363900263,0.0008867972485151962,0.12095504869071264,0.11943891715435755
stdlib-argparse,28,63,0.0863942723676917,0.08516012154711736,0.0012341508205743479,0.24346728344994878,0.23994306850409697
stdlib-argparse,29,63,0.05419798982181838,0.05242533819026513,0.0017726516315532473,0.168821707663555,0.16368942790561253
stdlib-argparse,30,63,0.07293544493713564,0.07290851918699605,2.6925750139586424e-05,0.20747764245976533,0.20599478319109904
stdlib-argparse,31,63,0.056129340496328145,0.05518431116693786,0.0009450293293902859,0.14317492200505166,0.1403925647101705
llama-sampling,0,63,0.050413283611839964,0.05115237234470745,-0.0007390887328674878,0.1733044632193115,0.17163960943146359
llama-sampling,1,63,0.008473346224202523,0.008010471479908104,0.00046287474429441804,0.026211882157931254,0.025165289315202878
llama-sampling,2,63,0.02470705299712126,0.024799504287777437,-9.245129065617655e-05,0.07239587764654841,0.07113830088859513
llama-sampling,3,63,0.02609344953966756,0.02583519468778774,0.0002582548518798196,0.0871855430600662,0.08569470278563954
llama-sampling,4,63,0.023917367415768758,0.02328156911128659,0.0006357983044821686,0.09012441425806,0.08705839006200669
llama-sampling,5,63,0.09087085948577003,0.09215666351115538,-0.001285804025385348,0.23997613769911585,0.24018261865490959
llama-sampling,6,63,0.06442658239532084,0.06286572620627426,0.0015608561890465833,0.173950270971372,0.16850537144475514
llama-sampling,7,63,0.026950637000568566,0.026485107439969267,0.00046552956059929887,0.08136686740354412,0.08053934104031041
llama-sampling,8,63,0.03756965245194142,0.03646528496525236,0.001104367486689059,0.11195037576059501,0.1087430872850948
