quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap,ref_entropy
Q4_K_XL,0,0+1,2,1,63,126,0.8,identity,0.9955263061672094,0.8035950381663057,0.02080741055025495,0.005254078761402814,0.05732344162858926,0.9426765583714107,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2,1,63,126,0.8,target-temperature,0.9955263061672094,0.8035950381663057,0.020838185011175726,0.005273779763327633,0.05756728541009526,0.9424327145899047,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2,1,63,126,0.8,target-temperature+token,0.9955263061672094,0.8035950381663057,0.02089600157999357,0.005282842128611135,0.0581080422290793,0.9418919577709207,0.9444444444444444,0.9238095238095242,1.1522282045912464
Q4_K_XL,0,0+1,2,1,63,126,1.0,identity,0.9998397568772442,1.0001602688047295,0.01802100323462946,0.004573945355308836,0.056286455411810356,0.9437135445881897,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2,1,63,126,1.0,target-temperature,0.9998397568772442,1.0001602688047295,0.01802052370506985,0.004574295364361951,0.05629276534383887,0.9437072346561611,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2,1,63,126,1.0,target-temperature+token,0.9998397568772442,1.0001602688047295,0.01803048779371318,0.004568891838297126,0.05645102421392794,0.9435489757860721,0.9444444444444444,0.9238095238095242,1.6682375084185166
Q4_K_XL,0,0+1,2+3,2,126,126,0.8,identity,1.0006460268120512,0.7994835122153161,0.02080741055025495,0.005254078761402814,0.05732344162858926,0.9426765583714107,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3,2,126,126,0.8,target-temperature,1.0006460268120512,0.7994835122153161,0.020805807203804247,0.005251928603670216,0.05729057116052082,0.9427094288394792,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3,2,126,126,0.8,target-temperature+token,1.0006460268120512,0.7994835122153161,0.020867970294805218,0.005271379183678828,0.05872989116623718,0.9412701088337628,0.9523809523809523,0.9253968253968257,1.1522282045912464
Q4_K_XL,0,0+1,2+3,2,126,126,1.0,identity,1.0036831813926193,0.9963303346505131,0.01802100323462946,0.004573945355308836,0.056286455411810356,0.9437135445881897,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3,2,126,126,1.0,target-temperature,1.0036831813926193,0.9963303346505131,0.018053071499887975,0.004571078174249545,0.05618069950014287,0.9438193004998572,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3,2,126,126,1.0,target-temperature+token,1.0036831813926193,0.9963303346505131,0.01801227465954213,0.004560018921747195,0.05697678518350103,0.943023214816499,0.9523809523809523,0.9253968253968257,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,identity,0.9987765623512006,0.8009799490255713,0.02080741055025495,0.005254078761402814,0.05732344162858926,0.9426765583714107,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,target-temperature,0.9987765623512006,0.8009799490255713,0.020812399823815657,0.005258630211738729,0.05738667869992162,0.9426133213000784,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,target-temperature+token,0.9987765623512006,0.8009799490255713,0.02052232424485738,0.005196842192032024,0.058191263243627514,0.9418087367563724,0.9444444444444444,0.9269841269841274,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,1.0,identity,1.003243431123146,0.9967670547122198,0.01802100323462946,0.004573945355308836,0.056286455411810356,0.9437135445881897,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,1.0,target-temperature,1.003243431123146,0.9967670547122198,0.018047130506758557,0.00457090800116071,0.056188978083720635,0.9438110219162794,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5,4,252,126,1.0,target-temperature+token,1.003243431123146,0.9967670547122198,0.0177942982963511,0.004511572268704325,0.05652136309364095,0.943478636906359,0.9523809523809523,0.9277777777777781,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,0.8,identity,0.9974421728585435,0.8020515091188705,0.02080741055025495,0.005254078761402814,0.05732344162858926,0.9426765583714107,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,0.8,target-temperature,0.9974421728585435,0.8020515091188705,0.020820774545644967,0.0052643069116553925,0.05745845080070395,0.942541549199296,0.9444444444444444,0.9230158730158734,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,0.8,target-temperature+token,0.9974421728585435,0.8020515091188705,0.02061070971049874,0.005218796185452982,0.058319359460841096,0.9416806405391589,0.9444444444444444,0.9277777777777781,1.1522282045912464
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,1.0,identity,1.0019416512383537,0.9980621114653195,0.01802100323462946,0.004573945355308836,0.056286455411810356,0.9437135445881897,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,1.0,target-temperature,1.0019416512383537,0.9980621114653195,0.0180328885808715,0.004571215054955329,0.0562166229714675,0.9437833770285325,0.9444444444444444,0.9230158730158734,1.6682375084185166
Q4_K_XL,0,0+1,2+3+4+5+6+7,6,378,126,1.0,target-temperature+token,1.0019416512383537,0.9980621114653195,0.01781630870249578,0.004520744959050063,0.05666530850256916,0.9433346914974309,0.9444444444444444,0.9277777777777781,1.6682375084185166
Q4_K_XL,1,2+3,4,1,63,126,0.8,identity,0.9952841064515782,0.803790590861727,0.01844411243875457,0.004573168012115183,0.05985880105665394,0.940141198943346,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4,1,63,126,0.8,target-temperature,0.9952841064515782,0.803790590861727,0.01847842696368704,0.004596170400952984,0.060055778057103416,0.9399442219428966,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4,1,63,126,0.8,target-temperature+token,0.9952841064515782,0.803790590861727,0.01742614296674923,0.0043310278692905825,0.05682129432781792,0.9431787056721821,0.9126984126984127,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4,1,63,126,1.0,identity,1.002447562121255,0.997558413812613,0.016064966260473084,0.003999942144798947,0.05851838778996456,0.9414816122100355,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4,1,63,126,1.0,target-temperature,1.002447562121255,0.997558413812613,0.01604161703121958,0.003987486974248742,0.058399564692514276,0.9416004353074857,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4,1,63,126,1.0,target-temperature+token,1.002447562121255,0.997558413812613,0.015184444745372885,0.0037729028074524134,0.05558273142914736,0.9444172685708526,0.9126984126984127,0.9222222222222225,2.2169082077848454
Q4_K_XL,1,2+3,4+5,2,126,126,0.8,identity,0.9973033628664442,0.8021631429183635,0.01844411243875457,0.004573168012115183,0.05985880105665394,0.940141198943346,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4+5,2,126,126,0.8,target-temperature,0.9973033628664442,0.8021631429183635,0.018457105529890754,0.004584674303775974,0.05995502334973345,0.9400449766502665,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4+5,2,126,126,0.8,target-temperature+token,0.9973033628664442,0.8021631429183635,0.017384639163277957,0.004313147628143234,0.05688624571937751,0.9431137542806225,0.9126984126984127,0.9206349206349208,1.5384278327385852
Q4_K_XL,1,2+3,4+5,2,126,126,1.0,identity,1.0029005039754137,0.9971078846167527,0.016064966260473084,0.003999942144798947,0.05851838778996456,0.9414816122100355,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4+5,2,126,126,1.0,target-temperature,1.0029005039754137,0.9971078846167527,0.01603984885318548,0.00398581812135397,0.058382103598556834,0.9416178964014432,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4+5,2,126,126,1.0,target-temperature+token,1.0029005039754137,0.9971078846167527,0.015168301795551014,0.003767270790138146,0.05571477661872543,0.9442852233812745,0.9126984126984127,0.9190476190476192,2.2169082077848454
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,0.8,identity,0.9961052250907372,0.8031280027942093,0.01844411243875457,0.004573168012115183,0.05985880105665394,0.940141198943346,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,0.8,target-temperature,0.9961052250907372,0.8031280027942093,0.018468551714869278,0.004591191462938771,0.0600135883851724,0.9399864116148275,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,0.8,target-temperature+token,0.9961052250907372,0.8031280027942093,0.017191184732753436,0.0042766215154338184,0.05630244209204629,0.9436975579079537,0.9285714285714286,0.920634920634921,1.5384278327385852
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,1.0,identity,1.0012284585513729,0.9987730487074346,0.016064966260473084,0.003999942144798947,0.05851838778996456,0.9414816122100355,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,1.0,target-temperature,1.0012284585513729,0.9987730487074346,0.01605032915183794,0.003992962849401978,0.05845114230350281,0.9415488576964972,0.8968253968253969,0.9214285714285716,2.2169082077848454
Q4_K_XL,1,2+3,4+5+6+7,4,252,126,1.0,target-temperature+token,1.0012284585513729,0.9987730487074346,0.015046796869864916,0.0037456356728874296,0.054994258619856455,0.9450057413801436,0.9285714285714286,0.9222222222222225,2.2169082077848454
Q4_K_XL,1,2+3,4+5+6+7+0+1,6,378,126,0.8,identity,0.9973987247030381,0.802086447662332,0.01844411243875457,0.004573168012115183,0.05985880105665394,0.940141198943346,0.8968253968253969,0.9214285714285716,1.5384278327385852
Q4_K_XL,1,2+3,4+5+6+7+0+1,6,378,126,0.8,target-temperature,0.9973987247030381,0.802086447662332,0.018456345142183302,0.004584193126845473,0.05995048980225905,0.940049510197741,0.8968253968253969,0.9214285714285716,1.5384278327385852
