block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
25,25,63,frozen-target-temperature,1.0293006839980887,0.18332005394647707,0.0416861256577313,0.17617982889633785,0.8095238095238095,0.7999999999999996
25,25,63,frozen-temperature+token,1.0293006839980887,0.18115442521736136,0.04159811207278193,0.17518175939429284,0.8095238095238095,0.7984126984126982
25,25,63,frozen-pairwise-gap,1.0293006839980887,0.18183883691818536,0.04164206065035864,0.17512867121243272,0.8095238095238095,0.7984126984126982
26,26,63,identity,1.0293006839980887,0.25625015809722157,0.05330204190191485,0.196178148882895,0.7777777777777778,0.7428571428571428
26,26,63,frozen-target-temperature,1.0293006839980887,0.26025114097937424,0.05314748390359765,0.19442167942951463,0.7777777777777778,0.7428571428571428
26,26,63,frozen-temperature+token,1.0293006839980887,0.26784994056035866,0.05576791815091332,0.20469779570576083,0.7619047619047619,0.7492063492063493
26,26,63,frozen-pairwise-gap,1.0293006839980887,0.26709844307056146,0.055790425114898116,0.20466663427146833,0.7619047619047619,0.7492063492063493
27,27,63,identity,1.0293006839980887,0.2200505136256115,0.051983526987459686,0.19949734658420795,0.8095238095238095,0.7555555555555554
27,27,63,frozen-target-temperature,1.0293006839980887,0.22146975852984382,0.05125948362157136,0.19641556180819514,0.8095238095238095,0.7555555555555554
27,27,63,frozen-temperature+token,1.0293006839980887,0.2457163220439272,0.0572791516880447,0.21236678757547342,0.8253968253968254,0.7492063492063492
27,27,63,frozen-pairwise-gap,1.0293006839980887,0.24595671745054937,0.05713428422039504,0.21179891601150055,0.8253968253968254,0.7492063492063492
28,28,63,identity,1.0293006839980887,0.16815879660064492,0.04077909762531998,0.18310668737700317,0.7142857142857143,0.7603174603174598
28,28,63,frozen-target-temperature,1.0293006839980887,0.1656763007433536,0.039769582563876596,0.17840662649455255,0.7142857142857143,0.7603174603174598
28,28,63,frozen-temperature+token,1.0293006839980887,0.18295139528611257,0.043876144519388295,0.19354923115590136,0.6984126984126984,0.7777777777777775
28,28,63,frozen-pairwise-gap,1.0293006839980887,0.18292268079362614,0.04380263555576627,0.19320703257062943,0.6984126984126984,0.7777777777777775
29,29,63,identity,1.0293006839980887,0.11027228026396885,0.02860156926637572,0.1104521546325897,0.9523809523809523,0.7952380952380952
29,29,63,frozen-target-temperature,1.0293006839980887,0.10698582364980959,0.027219030146927056,0.10561253503277082,0.9523809523809523,0.7952380952380952
29,29,63,frozen-temperature+token,1.0293006839980887,0.11467635226425898,0.029171114732018853,0.11233599482268447,0.9365079365079365,0.7920634920634919
29,29,63,frozen-pairwise-gap,1.0293006839980887,0.11442182623392026,0.029001782723412934,0.11209611151321083,0.9365079365079365,0.7920634920634919
30,30,63,identity,1.0293006839980887,0.17802683550493828,0.0411645616953586,0.1747543837621584,0.8571428571428571,0.806349206349206
30,30,63,frozen-target-temperature,1.0293006839980887,0.17843003253258774,0.04043784837061439,0.17178886934674525,0.8571428571428571,0.806349206349206
30,30,63,frozen-temperature+token,1.0293006839980887,0.1804589096451814,0.04096805859146396,0.17097523797275285,0.8412698412698413,0.8126984126984123
30,30,63,frozen-pairwise-gap,1.0293006839980887,0.1810074691603788,0.04095745884177343,0.17057912403779996,0.8412698412698413,0.8126984126984123
31,31,63,identity,1.0293006839980887,0.16607075346183373,0.04052333141554639,0.16528413499555397,0.8571428571428571,0.7682539682539676
31,31,63,frozen-target-temperature,1.0293006839980887,0.1645263958948577,0.03934488489573973,0.16019496278292064,0.8571428571428571,0.7682539682539676
31,31,63,frozen-temperature+token,1.0293006839980887,0.1701660662615526,0.04126414967453159,0.16752510798198456,0.8412698412698413,0.7730158730158724
31,31,63,frozen-pairwise-gap,1.0293006839980887,0.1698093986017135,0.04104614671697105,0.16663409374450092,0.8412698412698413,0.7730158730158724
